Column1,R_kpc,+R,-RColumn4,v_km/s,+v,-v
,6.928,6.928,6.928,209.405,209.405,209.405
,6.997,6.997,6.997,208.424,208.424,208.424
,7.064,7.064,7.064,207.289,207.289,207.289
,7.128,7.128,7.128,219.101,219.101,219.101
,7.19,7.19,7.19,205.359,205.359,205.359
,7.25,7.25,7.25,206.162,206.162,206.162
,7.308,7.308,7.308,203.009,203.009,203.009
,7.364,7.364,7.364,208.201,208.201,208.201
,7.417,7.417,7.417,200.637,200.637,200.637
,7.469,7.469,7.469,203.116,203.116,203.116
,7.518,7.518,7.518,202.039,202.039,202.039
,7.564,7.564,7.564,200.904,200.904,200.904
,7.608,7.608,7.608,201.711,201.711,201.711
,7.65,7.65,7.65,202.561,202.561,202.561
,7.69,7.69,7.69,202.052,202.052,202.052
,7.727,7.727,7.727,201.285,201.285,201.285
,7.762,7.762,7.762,203.659,203.659,203.659
,7.795,7.795,7.795,204.074,204.074,204.074
,7.825,7.825,7.825,208.829,208.829,208.829
,7.853,7.853,7.853,211.725,211.725,211.725
,7.878,7.878,7.878,209.162,209.162,209.162
,7.902,7.902,7.902,210.638,210.638,210.638
,7.922,7.922,7.922,213.154,213.154,213.154
,7.94,7.94,7.94,225.509,225.509,225.509
,7.956,7.956,7.956,235.504,235.504,235.504
,7.97,7.97,7.97,209.039,209.039,209.039
,7.981,7.981,7.981,210.413,210.413,210.413
,7.989,7.989,7.989,208.726,208.726,208.726
,7.995,7.995,7.995,211.778,211.778,211.778
,7.999,7.999,7.999,209.67,209.67,209.67
,7.999,7.999,7.999,200.07,200.07,200.07
,7.995,7.995,7.995,200.078,200.078,200.078
,7.989,7.989,7.989,200.526,200.526,200.526
,7.981,7.981,7.981,200.013,200.013,200.013
,7.97,7.97,7.97,203.039,203.039,203.039
,7.956,7.956,7.956,202.104,202.104,202.104
,7.94,7.94,7.94,202.109,202.109,202.109
,7.922,7.922,7.922,203.954,203.954,203.954
,7.902,7.902,7.902,202.138,202.138,202.138
,7.878,7.878,7.878,202.562,202.562,202.562
,7.853,7.853,7.853,202.625,202.625,202.625
,7.825,7.825,7.825,204.43,204.43,204.43
,7.795,7.795,7.795,205.574,205.574,205.574
,7.762,7.762,7.762,206.659,206.659,206.659
,7.727,7.727,7.727,207.985,207.985,207.985
,7.69,7.69,7.69,209.752,209.752,209.752
,7.65,7.65,7.65,207.161,207.161,207.161
,7.608,7.608,7.608,206.111,206.111,206.111
,7.564,7.564,7.564,205.904,205.904,205.904
,7.518,7.518,7.518,197.939,197.939,197.939
,7.469,7.469,7.469,205.016,205.016,205.016
,7.417,7.417,7.417,206.637,206.637,206.637
,7.364,7.364,7.364,206.801,206.801,206.801
,7.308,7.308,7.308,207.009,207.009,207.009
,7.25,7.25,7.25,206.462,206.462,206.462
,7.19,7.19,7.19,208.559,208.559,208.559
,7.128,7.128,7.128,211.401,211.401,211.401
,7.064,7.064,7.064,210.29,210.29,210.29
,6.997,6.997,6.997,205.624,205.624,205.624
,6.928,6.928,6.928,208.605,208.605,208.605
,6.857,6.857,6.857,210.834,210.834,210.834
,6.784,6.784,6.784,211.21,211.21,211.21
,6.709,6.709,6.709,213.234,213.234,213.234
,6.632,6.632,6.632,211.308,211.308,211.308
,6.553,6.553,6.553,208.731,208.731,208.731
,6.472,6.472,6.472,202.804,202.804,202.804
,6.389,6.389,6.389,208.327,208.327,208.327
,6.304,6.304,6.304,213.602,213.602,213.602
,6.217,6.217,6.217,213.429,213.429,213.429
,6.128,6.128,6.128,213.209,213.209,213.209
,6.038,6.038,6.038,213.242,213.242,213.242
,5.945,5.945,5.945,209.329,209.329,209.329
,5.851,5.851,5.851,206.271,206.271,206.271
,5.755,5.755,5.755,205.068,205.068,205.068
,5.657,5.657,5.657,203.922,203.922,203.922
,5.557,5.557,5.557,199.632,199.632,199.632
,5.456,5.456,5.456,197.6,197.6,197.6
